revenue,outcalls,incalls,months,eqpdays,webcap,marryyes,travel,pcown,creditcd,retcalls,churndep
30.39,4.33,0,40,1185,1,0,0,0,0,0,1
80.89,8.67,0,31,322,1,0,0,0,0,1,1
34.99,16.67,3,14,307,1,1,0,1,1,1,1
7.5,11,2.67,11,302,1,1,0,1,1,1,1
30,9.67,1,34,1030,0,1,0,0,1,0,1
76.48,26,6.67,29,321,1,0,0,0,0,1,1
33.72,1,0.33,29,869,0,0,0,0,0,0,1
50.66,13,8,22,278,1,0,0,0,0,1,1
16.29,0.33,0,34,1038,0,0,0,0,1,0,1
33.81,15,0.67,34,1019,0,0,0,1,1,0,1
27.55,0,0.33,7,224,1,1,0,1,1,1,1
36.5,0.33,0,41,1085,0,0,0,0,1,0,1
30.4,0.67,0,44,1315,1,1,0,0,1,0,1
20.23,31.67,20,31,435,1,1,0,0,0,1,1
58.04,20,1.33,27,815,0,0,0,0,0,0,1
30.27,0,0,37,1138,1,1,0,0,0,0,1
80.71,8.67,1.33,30,922,0,1,0,1,1,0,1
42.85,19.67,4.33,33,1003,0,1,1,1,1,0,1
193.95,70.33,11,7,67,1,0,0,0,1,1,1
30.74,4.33,0.33,33,1000,0,1,0,1,1,0,1
39.41,1.33,6,34,1017,0,1,0,0,1,0,1
34.99,5.67,0,33,991,0,0,0,0,1,0,1
30.51,1.67,0,32,985,0,1,1,1,1,0,1
30.25,0.67,0,33,994,0,1,1,0,1,0,1
76.21,27.33,1,34,956,0,0,0,0,1,0,1
33.25,7,1,32,460,1,1,0,0,1,1,1
36.2,0,0,22,247,1,0,0,0,0,1,1
30.24,5.33,0,32,980,0,0,0,0,1,0,1
151.58,0.67,0,16,57,1,1,0,0,0,1,1
172.03,20.67,0.67,13,5,1,0,0,0,0,1,1
58.22,5,0.67,32,949,0,0,0,1,1,0,1
86.07,12,6.67,28,792,0,0,0,0,0,0,1
50.71,5,1.33,35,1079,1,0,0,0,0,0,1
37.73,0,0,19,311,1,0,0,0,1,1,1
214.72,63.67,16.67,8,54,1,1,0,0,1,1,1
24.99,0.67,0,37,1031,0,1,0,1,1,0,1
74.19,6,2.33,11,89,1,0,0,0,0,1,1
98.82,29.67,2,24,716,0,0,0,0,0,0,1
30.18,1.67,5,28,839,0,0,0,0,0,0,1
29.99,1.33,0.67,32,970,0,1,0,0,1,0,1
76.73,67.33,40,47,1194,0,0,0,0,1,0,1
52.12,17,3.33,33,340,1,0,0,0,0,1,1
33.69,1.33,2,32,969,0,1,0,0,1,0,1
31.22,4.33,0,33,974,0,0,0,0,1,0,1
42.04,4.33,0,36,1083,1,0,0,0,0,0,1
60.73,15.67,5.33,26,782,0,0,0,0,0,0,1
32.78,3.33,1.67,32,964,0,1,0,1,1,0,1
80.15,26.67,0,29,875,0,1,0,0,1,0,1
29.61,0,0,32,961,0,0,0,0,1,0,1
30.13,2.67,0,32,960,0,0,0,0,1,0,1
30.27,3.67,0.33,31,949,0,1,0,0,1,0,1
30.96,0,0,20,312,1,0,1,1,1,1,1
11.54,11,2.33,28,840,0,0,0,0,0,0,1
29.99,0,0,32,955,0,1,0,1,1,0,1
40.65,18,3.67,11,113,1,1,0,0,0,1,1
59.48,11,31,34,516,1,0,0,0,1,1,1
41.11,0.33,0,31,930,0,1,0,0,1,0,1
121.22,36.67,17.33,23,709,0,0,0,0,0,0,1
41.24,21.33,0.67,30,920,0,0,0,0,1,0,1
31.15,1.67,0.67,26,786,0,0,0,0,0,0,1
11.73,15.67,2,32,976,0,1,1,0,1,0,1
344.93,167,64.67,27,128,1,0,0,0,0,1,1
30.1,0,0,31,939,0,1,0,0,1,0,1
31.33,0.33,0,32,948,0,1,0,0,1,0,1
39.99,98,20.33,34,1021,0,0,0,0,1,0,1
33.54,12.33,0,19,187,1,0,0,0,0,1,1
29.99,0,0,27,794,0,0,0,0,0,0,1
50.19,1,0,31,915,0,1,0,1,1,0,1
64.39,1.33,0,30,889,0,1,0,0,1,0,1
58.01,3.33,2.33,30,903,0,1,0,0,1,0,1
29.99,0,0,30,926,0,1,0,0,1,0,1
124.73,42.33,14.33,10,35,1,0,0,0,0,1,1
31.86,5,2.67,42,1249,1,1,0,0,1,0,1
35.51,1.67,0,30,918,0,1,0,1,1,0,1
35.24,16.67,6.33,27,803,0,0,0,0,0,0,1
51.12,72.67,16.33,19,314,1,0,0,0,1,1,1
41.35,12.33,7,42,1248,1,1,0,0,1,0,1
112.42,24,1,15,158,1,1,0,0,1,1,1
16.99,0,0,41,1240,1,0,1,1,1,0,1
30.7,5.33,0,31,928,0,0,0,0,1,0,1
40.37,2.33,1.33,30,910,0,1,0,0,1,0,1
18.98,0,0,31,939,0,1,0,1,1,0,1
35.21,4.67,0,41,1218,1,1,0,0,1,0,1
30.24,1.33,0,31,926,0,0,0,0,1,0,1
116.73,80.67,13.67,8,113,1,0,0,1,1,1,1
82.51,32.67,21,8,69,1,0,0,0,0,1,1
30.15,0,0,31,924,0,0,0,0,1,0,1
18.52,0,0,31,936,0,1,0,0,1,0,1
52.03,66,16.33,17,283,1,0,0,0,1,1,1
80.53,27,1,29,747,0,0,0,0,0,0,1
34.57,0.33,0,30,907,0,1,0,1,1,0,1
32.55,6.33,1,30,910,0,0,0,1,1,0,1
33.06,0.67,0,35,1048,1,0,0,0,0,0,1
26.99,1.67,0,26,768,0,0,0,0,0,0,1
67.47,17.67,0,28,846,0,1,0,0,1,0,1
30,4,1.33,41,1217,1,0,0,0,1,0,1
27.12,17,0.67,31,399,1,1,0,0,1,1,1
61.55,14.33,0.33,26,308,1,0,0,1,1,1,1
40.17,3,0,34,1024,1,0,0,0,0,0,1
34.22,8,0.67,29,369,1,1,0,0,1,1,1
51.06,28.33,3,22,92,0,1,0,1,1,1,1
50.73,0.33,0,38,1156,1,1,0,0,1,0,1
35.08,0.33,0,30,896,0,0,0,0,1,0,1
217.96,23,3,30,897,1,0,0,0,1,0,1
54.33,26,5,38,1164,1,0,0,0,1,0,1
62.74,38.33,0.33,8,115,1,1,0,0,1,1,1
136.79,8.67,0.33,21,169,1,1,0,0,1,1,1
53.9,52.67,10.33,34,842,0,0,0,0,0,0,1
78.75,15.33,0,28,824,0,0,0,0,1,0,1
64.96,8,2,28,845,0,1,0,0,1,0,1
22.46,26,0,39,1192,1,1,0,0,1,0,1
41.23,2,0,29,874,0,0,0,0,1,0,1
30.5,6,0,25,741,0,0,1,0,0,0,1
117.63,12,4,30,903,1,0,0,0,0,0,1
67.07,53.67,3.33,33,987,1,0,0,0,0,0,1
62.13,10.67,4.33,38,1150,1,0,1,1,1,0,1
60.93,17.33,0.67,29,853,0,1,1,1,1,0,1
76.73,41.67,5.67,37,1126,1,1,0,0,1,0,1
40.15,1.67,0,11,165,1,1,0,1,1,1,1
34.99,1,0,30,888,0,0,0,0,1,0,1
56.7,44.33,15.33,8,161,1,0,1,1,1,1,1
56.77,7,0,28,321,1,1,0,0,1,1,1
158.99,1.67,2.67,27,818,1,0,0,0,0,0,1
72.59,14,0.33,31,946,1,0,1,1,0,0,1
30.96,50,0,29,878,0,1,0,0,1,0,1
52.47,1.33,0,28,844,0,1,0,1,1,0,1
18.25,0,0,45,1249,1,0,0,1,1,0,1
42.3,12.67,9,29,891,0,0,0,0,1,0,1
77.46,24,1,32,236,1,0,0,0,0,1,1
23.74,1.33,0.67,32,916,0,1,0,1,1,0,1
31.27,3.33,0,30,885,0,1,0,1,1,0,1
97.78,3.67,1,26,773,0,1,0,0,1,0,1
70.47,42,4.33,12,145,1,0,0,0,1,1,1
30.04,12.33,0.33,38,1158,1,1,0,0,1,0,1
29.99,6.67,2,29,876,0,1,0,0,1,0,1
34.46,11.67,1.33,28,858,0,0,0,0,1,0,1
33.25,0.67,0,28,854,0,1,0,0,1,0,1
30,0,0,28,857,0,0,0,0,1,0,1
76.48,31.67,3.67,27,807,0,0,1,0,1,0,1
20.03,0.33,0,29,877,0,0,0,0,1,0,1
38.5,0,0,27,836,0,1,0,0,1,0,1
36.37,5.33,0.67,29,861,0,0,0,0,1,0,1
39.4,4,0,29,855,0,1,0,0,1,0,1
17.93,0,0,25,733,0,0,0,0,0,0,1
31.45,15.67,0,38,1148,1,1,1,0,1,0,1
64.88,11.67,0,31,936,1,0,0,0,0,0,1
74.4,41.33,7.33,21,232,1,0,0,0,1,1,1
30.81,0,2.33,34,1009,1,0,0,0,0,0,1
62.61,80,11,22,682,0,0,0,0,0,0,1
34.74,21.67,5.67,24,716,0,0,0,0,0,0,1
201.49,69,0,23,699,1,0,0,0,0,0,1
73.03,6.67,1.67,12,15,1,0,0,0,0,1,1
35.18,0.33,0,38,1137,1,0,0,0,1,0,1
65.11,17,0,31,929,1,0,0,0,0,0,1
52.2,10.67,1.33,37,1111,1,1,0,1,1,0,1
48,0,0,28,825,0,0,0,0,1,0,1
81.49,68.33,6.33,26,787,0,0,0,0,1,0,1
17.81,0,0,29,868,0,1,0,0,1,0,1
29.99,7.67,1,29,855,0,1,0,0,1,0,1
29.52,0,0,32,973,1,0,0,0,0,0,1
37.03,7.67,4.33,23,691,0,0,0,0,0,0,1
50,32.67,6,22,670,0,1,0,0,0,0,1
51.48,13,2.33,28,822,0,1,0,1,1,0,1
35.49,0.67,0.33,22,668,0,0,0,0,0,0,1
54.36,10.67,3.67,26,801,0,0,0,0,1,0,1
51.07,29,11.67,37,1136,1,1,0,1,1,0,1
37.79,5.67,3,23,681,0,0,0,0,0,0,1
12.74,0,0,29,864,0,1,0,0,1,0,1
51.84,16,0.33,44,457,1,0,0,0,1,1,1
105.6,16,5.67,34,1024,1,0,0,0,1,0,1
78.23,15.67,0,25,750,0,0,0,0,1,0,1
140.7,104,61.67,21,204,1,0,0,0,0,1,1
91.06,2,0,35,317,1,0,0,0,1,1,1
29.99,6.33,0,28,830,0,1,0,0,1,0,1
30.14,0,0,37,1116,1,1,0,0,1,0,1
57.47,3,0,27,789,0,1,0,0,1,0,1
45.43,13,4,28,824,0,0,0,0,1,0,1
35.3,6.33,1.67,21,652,0,0,0,0,0,0,1
86.22,57.33,0.67,14,100,1,0,0,0,1,1,1
35.19,3,0,22,654,0,0,0,0,0,0,1
72.62,16.67,0.67,35,1046,1,0,0,0,1,0,1
30.56,10.33,1.33,22,663,0,0,0,0,0,0,1
33.15,0,0,22,656,0,0,0,0,0,0,1
17.44,0.33,0,28,838,0,1,0,0,1,0,1
35.51,4,0.67,36,1094,1,1,0,1,1,0,1
21.07,0,0,37,1118,1,1,0,1,1,0,1
29.99,1,0,27,810,0,1,0,0,1,0,1
30.7,2.67,0.67,27,811,0,0,1,1,1,0,1
39.21,6.67,1.33,22,649,0,0,0,0,0,0,1
87.31,79.33,0.33,34,1012,1,1,1,1,1,0,1
33.19,25.67,40.67,23,262,1,0,0,0,0,1,1
36.33,1.33,0,26,789,0,1,0,0,1,0,1
12.74,7.67,5.67,37,1139,1,1,0,1,1,0,1
5,0,0,29,854,0,1,0,1,1,0,1
52.41,5.33,0.67,26,772,0,1,0,0,1,0,1
45.51,4,0.67,26,779,0,1,0,0,1,0,1
39.66,1,0,21,628,0,0,0,0,0,0,1
50.94,45,8.67,21,642,0,0,0,0,0,0,1
84.99,14.67,3.33,24,722,0,1,0,0,1,0,1
86.08,24.67,0.33,17,118,1,0,0,0,1,1,1
30.17,0,0,31,933,1,0,0,0,0,0,1
77.43,71.33,10.33,30,902,1,1,0,0,0,0,1
27.74,3.33,1.33,37,1104,1,1,0,0,1,0,1
29.69,6.33,4.67,27,815,0,0,0,0,1,0,1
48.12,7.33,0.33,35,1056,1,1,0,0,1,0,1
240.33,121.33,64.33,9,55,1,0,0,0,1,1,1
28.75,11.67,0.67,21,634,0,0,0,0,0,0,1
31.27,48.33,21,30,889,0,1,0,0,1,0,1
34.18,9.67,4.67,21,640,0,0,0,0,0,0,1
58.66,10.33,1.33,35,1043,1,0,0,0,1,0,1
35.68,9,0.33,30,910,1,0,0,0,0,0,1
36.62,2.67,0.33,25,766,0,0,0,0,1,0,1
105.55,70.33,25.67,26,777,0,0,0,1,1,0,1
39.54,57.67,37.33,25,770,0,0,0,0,0,0,1
38.84,7,0,25,760,0,0,0,0,1,0,1
81.14,1.33,0,22,681,0,1,0,0,1,0,1
34.11,6.33,6,21,637,0,0,0,0,0,0,1
53.57,4,0,34,1028,1,1,0,0,1,0,1
58.8,24,10,15,141,1,0,0,0,1,1,1
16.99,0.33,0,37,1098,1,0,0,0,1,0,1
10.95,0.67,0,11,121,1,1,0,0,1,1,1
35.61,0.33,0,35,1056,1,0,0,0,1,0,1
146.47,109.67,24.67,13,68,1,1,0,0,1,1,1
32.99,0.33,3,20,616,0,0,0,0,0,0,1
31,0.67,0,29,894,1,0,0,0,0,0,1
18.74,0,1.67,37,1098,1,1,0,1,1,0,1
50.49,7,1,34,1030,1,0,0,1,1,0,1
9.59,1.33,0.67,26,797,0,1,0,0,1,0,1
19.12,0,0,26,783,0,0,0,0,1,0,1
42.74,9.67,2.67,25,755,0,1,0,1,1,0,1
45.26,12.33,5.67,15,34,1,0,0,0,0,1,1
116.27,47,16.67,33,993,1,1,0,0,1,0,1
40.21,5.33,0,25,749,0,0,0,1,1,0,1
42.5,6,0.33,31,808,0,0,1,1,1,0,1
50.07,11.33,6,26,765,0,0,0,0,1,0,1
78.93,8.33,0,11,39,1,0,0,0,1,1,1
223.53,59,43.33,21,14,1,0,0,0,0,1,1
32.49,2.67,0.67,19,592,0,0,0,0,0,0,1
31.21,0.67,0,35,1053,1,1,1,0,1,0,1
32.5,6,0,25,754,0,1,0,0,1,0,1
34.79,4,0,25,751,0,0,0,0,1,0,1
35.3,0.33,0,24,740,0,1,0,0,1,0,1
78.8,29.33,0.33,25,704,0,0,0,0,1,0,1
10.09,6.33,3.33,22,654,0,0,0,0,0,0,1
34.99,6,0,26,761,0,1,1,1,1,0,1
33.32,5,2.67,35,1056,1,0,0,0,1,0,1
29.99,1.33,0.33,34,1042,1,0,0,0,1,0,1
37.83,25.67,5.67,14,25,1,0,0,0,0,1,1
31.39,1,0.33,35,1050,1,1,0,1,1,0,1
79.4,10.67,0.33,27,812,1,0,0,1,0,0,1
52.16,6.67,1.33,24,723,0,1,0,1,1,0,1
38.2,2.67,2,20,595,0,0,0,0,0,0,1
24.99,0,0,35,951,1,0,0,0,0,0,1
32.78,0.33,0.67,32,720,0,0,0,0,0,0,1
137.51,37.33,8,25,748,1,0,0,0,0,0,1
29.99,1,1.33,25,754,0,1,0,0,1,0,1
34.3,2.67,0,25,745,0,1,0,1,1,0,1
33.14,1,0.33,25,747,0,0,0,0,1,0,1
28.99,0,0,25,750,0,1,0,1,1,0,1
32.72,4.33,0,25,745,0,0,0,0,1,0,1
31.37,7,2,25,752,0,1,0,1,1,0,1
11.82,89.33,16.67,33,991,1,0,0,0,0,0,1
67.68,5.67,0.67,23,687,0,1,0,0,1,0,1
57.75,18,8.33,29,262,1,0,0,0,1,1,1
50.24,9.33,3.33,34,1020,1,1,0,0,1,0,1
303.11,59.33,10,15,464,1,0,0,0,0,0,1
39.99,0.67,0,25,732,0,1,0,0,1,0,1
115.21,9.33,1.67,30,900,1,1,0,0,1,0,1
89.71,8.33,1,31,936,1,0,0,1,1,0,1
82.58,5.33,0,36,174,1,0,0,0,0,1,1
30,2.67,0,34,1027,1,0,0,0,1,0,1
36.99,0.67,0,33,1009,1,0,0,0,1,0,1
